1409	2330	141
1279	4191	84
2418	3034	57
292	3675	65
1882	2435	33
175	829	14
1463	1841	44
3561	2046	67
3683	3187	154
189	475	37
2541	1311	111
1717	2149	64
3100	4300	65
2043	517	87
3334	4127	144
2125	1801	115
3596	1852	34
3309	4398	71
277	988	3
2623	1552	102
153	170	143
1952	3006	166
1235	759	61
1141	2127	46
2555	2020	88
2894	2122	131
2312	3083	87
123	586	144
712	49	24
2652	1917	106
2452	50	121
172	2480	0
2137	547	97
1004	3146	123
3299	2171	110
3659	1367	105
835	1191	135
2757	104	96
836	596	164
108	10	22
632	865	75
2984	4519	137
264	303	166
3472	3301	47
2305	586	92
1698	282	139
331	4095	146
2449	1158	45
1050	432	85
1166	1832	52
2099	3128	65
190	1144	25
2947	4749	117
234	577	165
3284	2924	39
2590	2109	162
954	2442	16
3551	4375	47
1470	1682	16
3193	4750	132
2817	4499	110
273	1729	85
1356	225	160
2658	1623	71
1906	1689	12
626	1590	95
298	426	68
3155	2153	31
58	454	119
3373	2356	47
1687	93	116
1049	3227	137
2076	1713	108
754	46	126
451	1730	29
2238	3094	146
45	2685	115
2781	1440	90
1182	1208	138
1776	1519	86
260	1071	100
3019	4067	107
2214	2123	39
158	746	44
587	804	10
1681	4148	42
708	44	96
645	1420	143
1875	2752	29
3500	687	17
101	952	138
1530	225	88
2373	1985	1
2538	1256	20
87	2127	160
607	318	93
2976	3703	106
421	264	139
2653	4786	143
339	500	88
3594	4386	109
99	107	119
1809	653	43
2441	3832	117
2079	1735	41
3530	3753	88
384	4628	18
1313	2881	82
685	173	25
2432	3882	9
848	3609	19
2031	1843	31
1956	2266	154
2814	1140	65
2568	2324	64
237	693	25
774	3338	74
3670	3004	107
990	879	145
180	1340	41
1860	1572	73
1419	3813	88
3451	4124	36
3434	3917	40
451	1429	63
3639	2403	105
1353	3702	151
2292	2196	136
2996	4151	105
2668	4486	159
823	1069	26
2424	1642	58
603	952	143
1744	311	159
955	431	48
2029	4278	85
3233	3312	23
876	103	144
302	999	50
1123	585	101
300	4122	40
1702	2932	95
1744	491	15
2551	4536	63
3567	1065	87
1684	3449	45
159	621	87
33	68	166
3668	636	109
789	624	119
3484	758	8
722	564	161
1599	214	72
1842	1871	18
1461	3837	9
878	144	41
870	408	24
993	2013	119
1781	1902	114
2554	1488	117
1192	1363	48
1184	1779	156
3007	3125	14
2359	2645	134
1185	50	48
698	45	18
3034	4669	81
3148	1963	88
644	4806	167
3556	322	140
3086	4719	158
3297	1534	84
102	3294	44
910	534	49
354	233	137
2501	4709	130
2519	4287	17
3323	1116	139
203	544	44
3467	3889	57
759	4533	90
22	143	118
1753	4080	119
3246	4094	19
2512	2740	85
341	3721	71
291	366	89
1491	2827	65
339	2012	120
360	1508	132
99	69	117
1599	2107	91
2236	253	162
1204	1284	158
1757	3402	36
3509	4567	115
456	2298	61
1413	3204	38
2293	4104	61
170	395	149
438	680	47
1933	124	2
1812	311	12
1714	2130	53
2787	3120	143
2049	3289	16
1757	3266	109
3252	1732	132
1151	492	42
1507	509	74
2369	3250	157
2526	732	92
2255	4052	117
1942	2970	25
3119	3053	76
479	737	118
1822	4247	45
622	3776	77
2080	2257	141
936	1853	34
3296	2768	42
2831	666	91
199	332	74
2826	509	163
